DATA_DATE,PAP_R1178743,PAP_R1181512,PAP_R1189461,PAP_R1204475,PAP_R1204628,PAP_R1223691,PAP_R1461686,PAP_R822706634,PAP_R826724172,PAP_R826745396,PAP_R826761629,PAP_R826765620,PAP_R826765624,PAP_R826770111,PAP_R826786345,PAP_R826794788,PAP_R826796092,PAP_R826796112,PAP_R826796135,PAP_R826806803,PAP_R826808117,PAP_R826808146,PAP_R826808218,PAP_R826808309,PAP_R826808338,PAP_R826808422,PAP_R826812806,PAP_R826815572,PAP_R826821099,PAP_R826821373,PAP_R826821375,PAP_R826821378,PAP_R826821380,PAP_R826824272,PAP_R826824424,PAP_R826825422,PAP_R826826203,PAP_R826829602,PAP_R826829623,PAP_R826830878,PAP_R826830888,PAP_R826831753,PAP_R826831911,PAP_R826832174,PAP_R826832216,PAP_R826832542,PAP_R826832545,PAP_R826832550,PAP_R826834069,PAP_R826837735,PAP_R826837792,PAP_R826838699,PAP_R826838951,PAP_R826839024,PAP_R826839228,PAP_R826839232,PAP_R826839305,PAP_R826839520,PAP_R826846895
2018-01-01,11942.49,5823.54,17273.86,2450.23,10621.14,65851.49,3006.67,22544.35,8034.44,17130.57,51874.82,70622.08,30000.63,71228.97,7939.37,10420.84,7604.43,8217.63,16313.93,10393.88,17964.64,13541.39,32479.75,13020.15,823.32,7824.06,9464.86,6297.64,6297.05,6031.17,21227.21,3278.16,12229.91,31557.89,38883.9,38992.71,4218.81,19442.66,18228.86,4863.72,22213.42,16776.35,9729.2,23745.54,11076.67,19057.8,16921.28,1328.78,26966.17,13667.27,22999.59,4257.99,16204.02,32481.43,24351.92,22766.87,22522.9,15847.25,13568.54
2018-01-02,11955.01,5828.0,17284.68,2451.9,10634.3,65980.68,3011.14,22570.99,8039.47,17147.09,51902.95,70698.97,30018.08,71315.99,7940.93,10432.44,7605.47,8218.08,16313.93,10402.36,17977.07,13550.52,32519.11,13026.76,825.73,7827.41,9469.03,6302.98,6307.36,6035.4,21239.65,3279.5,12274.64,31586.25,38897.96,39019.64,4218.83,19446.34,18229.04,4865.76,22213.43,16776.53,9731.1,23746.28,11081.15,19089.0,16929.29,1329.14,26979.58,13667.28,23000.51,4258.37,16204.13,32483.17,24390.66,22767.04,22522.91,15847.71,13582.08
2018-01-03,11966.99,5832.53,17295.07,2453.53,10649.75,66108.31,3016.0,22597.78,8044.28,17164.42,51931.07,70774.64,30037.74,71405.99,7942.05,10433.15,7605.54,8218.43,16313.93,10404.38,17989.33,13558.72,32557.02,13035.28,827.93,7830.79,9472.82,6309.66,6318.0,6039.67,21248.16,3280.57,12330.53,31615.51,38907.98,39045.4,4218.84,19449.59,18229.26,4868.96,22213.43,16776.67,9731.1,23747.11,11085.98,19123.44,16937.81,1329.63,26999.19,13667.28,23001.44,4258.71,16204.24,32483.48,24395.48,22767.24,22522.92,15848.02,13597.47
2018-01-04,11979.87,5837.98,17305.0,2454.98,NaN,66182.8,3020.83,22624.2,8049.39,17181.46,51959.56,70846.73,30058.93,71495.16,7943.38,10433.56,7606.29,8218.74,16313.93,10406.57,18001.77,13566.58,32597.96,13043.53,830.27,7832.47,9475.54,6316.19,6326.98,6044.31,21254.88,3281.63,12396.34,31644.65,38916.76,39073.54,4218.86,19452.88,18229.86,4871.44,22213.44,16776.77,9731.11,23747.71,11090.84,19158.1,16944.47,1330.25,27014.18,13667.29,23002.35,4259.09,16204.31,32483.88,24396.37,22767.43,22522.94,15848.31,13611.83
2018-01-05,11991.97,5841.8,17315.0,2456.85,10658.48,66261.92,3024.75,22650.89,8054.46,17197.44,51988.05,70924.06,30080.34,71583.97,7945.07,10433.86,7606.36,8219.36,16313.93,10409.42,18014.0,13575.24,32638.61,13050.68,832.71,7836.2,9482.27,6322.82,6336.92,6049.63,21262.29,3282.98,12446.77,31673.97,38927.62,39107.31,4218.88,19456.19,18230.08,4874.14,22213.44,16776.96,9731.11,23748.32,11095.63,19191.37,16951.72,1330.78,27030.54,13667.29,23003.23,4259.38,16204.42,32484.27,24396.88,22767.63,22522.95,15848.51,13626.34
2018-01-06,12003.96,5845.54,17324.32,2458.19,NaN,66349.63,3029.75,22678.25,8059.44,17210.64,52016.57,70994.65,30096.82,71666.45,7946.29,10434.94,7607.25,8219.75,16313.93,10411.83,18027.07,13584.79,32660.31,13054.6,835.08,7837.02,9488.69,6329.74,6344.1,6054.65,21269.56,3284.5,12500.41,31703.26,38936.23,39129.64,4218.89,19459.51,18230.35,4876.41,22213.45,16777.54,9731.12,23749.19,11100.5,19227.0,16958.8,1331.52,27041.36,13667.3,23004.07,4259.8,16204.5,32484.6,24397.81,22767.82,22522.96,15848.97,13640.13
2018-01-07,12016.6,5849.23,17331.17,2459.86,NaN,66434.03,3034.96,22706.2,8064.35,17224.37,52045.12,71080.4,30111.61,71754.02,7947.35,10444.94,7607.31,8220.16,16313.93,10414.04,18039.65,13593.6,32681.9,13058.36,837.66,7837.92,9494.2,6336.43,6349.63,6060.1,21277.1,3285.75,12563.56,31732.11,38945.28,39163.74,4218.91,19462.81,18230.57,4878.8,22213.45,16779.92,9731.12,23749.92,11105.26,19261.71,16969.67,1332.04,27057.26,13667.31,23005.1,4260.26,NaN,32485.08,24398.41,22768.0,22522.98,15849.85,13653.38
2018-01-08,12028.96,5852.95,17341.26,2461.25,NaN,66519.84,3039.91,22731.04,8069.98,17240.75,52073.65,71154.43,30129.86,71842.57,7948.21,10446.75,7608.22,8220.6,16313.93,10416.64,18053.03,13601.35,32724.59,13066.12,840.2,7840.82,9499.34,6341.3,6359.8,6065.1,21283.94,3287.01,12615.5,31762.19,38954.27,39193.16,4218.92,19466.0,18230.81,4882.1,22213.46,16783.76,9731.13,23750.73,11109.78,19294.67,16979.63,1332.62,27073.06,13667.31,23005.9,4260.67,16204.75,32485.47,24399.63,22768.22,22522.99,15849.99,13667.28
2018-01-09,12040.72,5857.16,17351.05,2462.25,NaN,66591.46,3044.88,22757.67,8076.08,17255.27,52102.33,71180.26,30147.89,71931.46,7949.8,10458.67,7608.28,8220.98,16313.93,10419.43,18066.54,13609.66,32767.34,13075.03,842.64,7844.23,9504.73,6347.29,6369.5,6071.6,21290.2,3288.55,12662.0,31793.98,38966.25,39224.66,4218.94,19469.07,18231.03,4887.01,22213.47,16783.95,9731.13,23751.58,11114.35,19327.77,16989.87,1333.13,27086.19,13667.32,23006.86,4261.14,NaN,32485.84,24400.81,22768.4,22523.0,15850.16,13681.65
2018-01-10,12053.92,5860.63,17361.05,2463.23,10663.69,66667.94,3049.68,22783.84,8082.24,17272.26,52130.62,71256.6,30164.58,72020.8,7951.3,10459.74,7609.49,8222.23,16313.93,10422.78,18079.19,13618.02,32807.85,13083.12,844.76,7848.09,9505.32,6353.37,6380.65,6077.79,21297.71,3290.0,12709.44,31826.25,38973.63,39248.66,4218.95,19478.67,18231.29,4890.55,22213.47,16784.13,9731.14,23752.31,11118.96,19356.57,17000.99,1333.74,27102.2,13667.32,23007.79,4261.49,NaN,32486.19,24401.68,22768.61,22523.01,15850.3,13695.33
